Target,SMS
0,jurong point crazy available bugis great world la buffet cine get amore wat
0,ok lar joke wif oni
1,free entry aanumbers wkly comp win fa cup final tkts aanumbers aanumbers text fa aanumbers receive entry question(std txt rate)t&c apply aanumbers
0,dun early hor
0,nah think go usf live
1,freemsg hey darle aanumbers week word like fun tb ok xxx std chgs send aanumbers rcv
0,brother like speak treat like aids patent
0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press aanumbers copy friend callertune
1,winner value network customer select receivea aanumbers prize reward claim aanumbers claim code aanumbers valid aanumbers hour
1,mobile aanumbers month entitle update late colour mobile camera free mobile update co free aanumbers
0,go to home soon want talk stuff anymore tonight cry today
1,chance win cash aanumbers aanumbers pound txt aanumbers send aanumbers cost aanumbers day aanumbers aanumbers tsandcs apply reply hl aanumbers info
1,urgent win aanumbers week free membership aanumbers prize jackpot txt word claim aanumbers t&c www.dbuk.net lccltd pobox aanumbers
0,search right word thank breather promise will not help grant fulfil promise wonderful blessing time
0,date sunday
1,xxxmobilemovieclub use credit click wap link txt message click http://wap xxxmobilemovieclub.com?n=qjkgighjjgcbl
0,oh i'm watch
0,eh remember aanumbers spell yes naughty wet
0,fine thatåõs way feel thatåõs way gota
1,england macedonia not miss goal team news txt ur national team aanumbers eg england aanumbers try wale scotland aanumbers aanumbers aanumbers aanumbers
0,seriously spell
0,i‰û÷m go try aanumbers month ha ha joke
0,pay lar da stock comin
0,aft finish lunch str lor ard aanumbers smth lor finish ur lunch
0,ffffffffff alright way meet soon
0,force eat slice hungry tho suck mark get worried know sick turn pizza lol
0,lol convincing
0,catch bus fry egg tea eat mom leave dinner feel love
0,amp pack car let know room
0,ahhh work vaguely remember feel like lol
0,wait clear sure sarcastic want live
0,yeah get aanumbers apologetic fall actin like spoilt child get catch till aanumbers will badly cheer
0,tell
0,fear faint housework quick cuppa
1,thank subscription ringtone uk mobile charge aanumbers month confirm reply yes reply charge
0,yup ok home look timing msg xuhui go learn aanumbers lesson aanumbers
0,oops let know roommate
0,letter car
0,lor decide
0,hello saturday texte decide tomo try invite
0,pls ahead watt want sure great weekend abiola
